AirportCode,AirportName,City,AdministrativeDivision,Country
DET,Coleman A. Young Municipal Airport,Detroit,Michigan,United States
BRO,Brownsville South Padre Island International Airport,Brownsville,Texas,United States
DHN,Dothan Regional Airport,Dothan,Alabama,United States
WWD,Cape May County Airport,Wildwood,New Jersey,United States
NFL,Fallon Naval Air Station,Fallon,Nevada,United States
MTC,Selfridge Air National Guard Base Airport,Mount Clemens,Michigan,United States
FMN,Four Corners Regional Airport,Farmington,New Mexico,United States
CRP,Corpus Christi International Airport,Corpus Christi,Texas,United States
SYR,Syracuse Hancock International Airport,Syracuse,New York,United States
NQX,Naval Air Station Key West/Boca Chica Field,Key West,Florida,United States
MDW,Chicago Midway International Airport,Chicago,Illinois,United States
SJC,Norman Y. Mineta San Jose International Airport,San Jose,California,United States
HOB,Lea County Regional Airport,Hobbs,New Mexico,United States
PNE,Northeast Philadelphia Airport,Philadelphia,Pennsylvania,United States
DEN,Denver International Airport,Denver,Colorado,United States
PHL,Philadelphia International Airport,Philadelphia,Pennsylvania,United States
SUX,Sioux Gateway Col. Bud Day Field,Sioux City,Iowa,United States
MCN,Middle Georgia Regional Airport,Macon,Georgia,United States
TCS,Truth Or Consequences Municipal Airport,Truth Or Consequences,Nm,United States
PMD,Palmdale Regional/USAF Plant 42 Airport,Palmdale,California,United States
RND,Randolph Air Force Base,San Antonio,Texas,United States
NJK,El Centro NAF Airport (Vraciu Field),El Centro,,United States
CMH,John Glenn Columbus International Airport,Columbus,Ohio,United States
FYV,Drake Field,Fayetteville,Arkansas,United States
FSI,Henry Post Army Air Field (Fort Sill),Fort Sill,Oklahoma,United States
FFO,Wright-Patterson Air Force Base,Dayton,Ohio,United States
GAL,Edward G. Pitka Sr Airport,Galena,Alaska,United States
MWL,Mineral Wells Airport,Mineral Wells,Texas,United States
IAB,Mc Connell Air Force Base,Wichita,Kansas,United States
NBG,New Orleans NAS JRB/Alvin Callender Field,New Orleans,Louisiana,United States
BFT,Beaufort County Airport,Beaufort,South Carolina,United States
TXK,Texarkana Regional Webb Field,Texarkana,Arkansas,United States
PBG,Plattsburgh International Airport,Plattsburgh,New York,United States
APG,Phillips Army Air Field,Aberdeen,Maryland,United States
TCC,Tucumcari Municipal Airport,Tucumcari,New Mexico,United States
ANC,Ted Stevens Anchorage International Airport,Anchorage,Alaska,United States
GRK,Robert Gray  Army Air Field Airport,Killeen,Texas,United States
BLI,Bellingham International Airport,Bellingham,Washington,United States
NQA,Millington-Memphis Airport,Millington,Tennessee,United States
EKN,Elkins-Randolph Co-Jennings Randolph Field,Elkins,West Virginia,United States
HFD,Hartford Brainard Airport,Hartford,Ct/Springfield,United States
SFZ,North Central State Airport,Smithfield,,United States
MOB,Mobile Regional Airport,Mobile,Alabama,United States
NUQ,Moffett Federal Airfield,Mountain View,California,United States
SAF,Santa Fe Municipal Airport,Santa Fe,New Mexico,United States
BKH,Barking Sands Airport,Barking Sands,Kauai,United States
DRI,Beauregard Regional Airport,Deridder,,United States
BSF,Bradshaw Army Airfield,Bradshaw Field,,United States
OLS,Nogales International Airport,Nogales,Arizona,United States
MCF,Mac Dill Air Force Base,Tampa,Florida,United States
BLV,Scott AFB/Midamerica Airport,Belleville,Illinois,United States
OPF,Opa-locka Executive Airport,Miami,Florida,United States
DRT,Del Rio International Airport,Del Rio,Texas,United States
RSW,Southwest Florida International Airport,Fort Myers,Florida,United States
AKN,King Salmon Airport,King Salmon,Alaska,United States
MUI,Muir Army Air Field (Fort Indiantown Gap) Airport,Muir,,United States
JHM,Kapalua Airport,Lahania-kapalua,Maui,United States
JFK,John F Kennedy International Airport,New York,New York,United States
HST,Homestead ARB Airport,Homestead,Florida,United States
RAL,Riverside Municipal Airport,Riverside,California,United States
FLV,Sherman Army Air Field,Fort Leavenworth,,United States
WAL,Wallops Flight Facility Airport,Wallops Island,Virginia,United States
HMN,Holloman Air Force Base,Alamogordo,New Mexico,United States
NXX,Willow Grove Naval Air Station/Joint Reserve Base,Willow Grove,Pennsylvania,United States
CYS,Cheyenne Regional Jerry Olson Field,Cheyenne,Wyoming,United States
SCK,Stockton Metropolitan Airport,Stockton,California,United States
CHS,Charleston Air Force Base-International Airport,Charleston,South Carolina,United States
RNO,Reno Tahoe International Airport,Reno,Nevada,United States
KTN,Ketchikan International Airport,Ketchikan,Alaska,United States
YIP,Willow Run Airport,Detroit,Michigan,United States
VBG,Vandenberg Air Force Base,Lompoc,California,United States
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,Alabama,United States
NEL,Lakehurst Maxfield Field Airport,Lakehurst,New Jersey,United States
SYA,Eareckson Air Station,Shemya,Alaska,United States
LSV,Nellis Air Force Base,Las Vegas,Nevada,United States
RIV,March ARB Airport,Riverside,California,United States
MOD,Modesto City Co-Harry Sham Field,Modesto,California,United States
SMF,Sacramento International Airport,Sacramento,California,United States
UGN,Waukegan National Airport,Chicago,Illinois,United States
COS,City of Colorado Springs Municipal Airport,Colorado Springs,Colorado,United States
BUF,Buffalo Niagara International Airport,Buffalo,New York,United States
SKY,Griffing Sandusky Airport,Sandusky,Ohio,United States
PAE,Snohomish County (Paine Field) Airport,Everett,Washington,United States
MUO,Mountain Home Air Force Base,Mountain Home,Idaho,United States
CDC,Cedar City Regional Airport,Cedar City,Utah,United States
BDL,Bradley International Airport,Windsor Locks,Ct/Springfield,United States
MFE,Mc Allen Miller International Airport,Mcallen,Texas,United States
NGU,Norfolk Naval Station (Chambers Field),Norfolk,Virginia,United States
CEF,Westover ARB/Metropolitan Airport,Chicopee Falls,Massachusetts,United States
LBB,Lubbock Preston Smith International Airport,Lubbock,Texas,United States
ORD,Chicago O'Hare International Airport,Chicago,Illinois,United States
BCT,Boca Raton Airport,Boca Raton,Florida,United States
FAI,Fairbanks International Airport,Fairbanks,Alaska,United States
CVS,Cannon Air Force Base,Clovis,New Mexico,United States
NGF,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,Kaneohe Bay,Hawaii,United States
OFF,Offutt Air Force Base,Omaha,Nebraska,United States
GKN,Gulkana Airport,Gulkana,Alaska,United States
ART,Watertown International Airport,Watertown,New York,United States
PSP,Palm Springs International Airport,Palm Springs,California,United States
AMA,Rick Husband Amarillo International Airport,Amarillo,Texas,United States
FOD,Fort Dodge Regional Airport,Fort Dodge,Iowa,United States
BAD,Barksdale Air Force Base,Shreveport,Louisiana,United States
FOE,Topeka Regional Airport - Forbes Field,Topeka,Kansas,United States
COT,Cotulla-La Salle County Airport,Cotulla,Texas,United States
ILM,Wilmington International Airport,Wilmington,North Carolina,United States
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,Louisiana,United States
TYR,Tyler Pounds Regional Airport,Tyler,Texas,United States
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,Maryland,United States
HBR,Hobart Regional Airport,Hobart,Oklahoma,United States
LNY,Lanai Airport,Lanai,Lanai,United States
AEX,Alexandria International Airport,Alexandria,Louisiana,United States
WSD,Condron Army Air Field,White Sands,,United States
CDB,Cold Bay Airport,Cold Bay,Alaska,United States
TUL,Tulsa International Airport,Tulsa,Oklahoma,United States
SIT,Sitka Rocky Gutierrez Airport,Sitka,Alaska,United States
ISP,Long Island Mac Arthur Airport,Islip,New York,United States
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,Minnesota,United States
ILG,New Castle Airport,Wilmington,Pa/Wilmington,United States
DUT,Unalaska Airport,Unalaska,Alaska,United States
MSY,Louis Armstrong New Orleans International Airport,New Orleans,Louisiana,United States
PWM,Portland International Jetport Airport,Portland,Maine,United States
OKC,Will Rogers World Airport,Oklahoma City,Oklahoma,United States
ALB,Albany International Airport,Albany,New York,United States
VDZ,Valdez Pioneer Field,Valdez,Alaska,United States
LFI,Langley Air Force Base,Hampton,Va,United States
SNA,John Wayne Airport-Orange County Airport,Santa Ana,California,United States
CBM,Columbus Air Force Base,Colombus,Mississippi,United States
TMB,Kendall-Tamiami Executive Airport,Kendall-tamiami,,United States
NTU,Oceana Naval Air Station,Oceana,Virginia,United States
GUS,Grissom Air Reserve Base,Peru,Indiana,United States
CPR,Casper-Natrona County International Airport,Casper,Wyoming,United States
VPS,Destin-Ft Walton Beach Airport,Valparaiso,Florida,United States
SEM,Craig Field,Selma,Alabama,United States
EYW,Key West International Airport,Key West,Florida,United States
CLT,Charlotte Douglas International Airport,Charlotte,North Carolina,United States
LAS,McCarran International Airport,Las Vegas,Nevada,United States
MCO,Orlando International Airport,Orlando,Florida,United States
FLO,Florence Regional Airport,Florence,South Carolina,United States
GTF,Great Falls International Airport,Great Falls,Montana,United States
YNG,Youngstown Warren Regional Airport,Youngstown,Ohio,United States
FBK,Ladd AAF Airfield,Fort Wainwright,Alaska,United States
WRB,Robins Air Force Base,Macon,Georgia,United States
BKK,Suvarnabhumi Airport,Bangkok,,Thailand
NAH,Naha Airport,Naha,,Indonesia
MXB,Andi Jemma Airport,Masamba,,Indonesia
SQR,Soroako Airport,Soroako,,Indonesia
TTR,Pongtiku Airport,Makale,,Indonesia
KDI,Wolter Monginsidi Airport,Kendari,,Indonesia
SBG,Maimun Saleh Airport,Sabang,,Indonesia
TSY,Cibeureum Airport,Tasikmalaya,,Indonesia
MLG,Abdul Rachman Saleh Airport,Malang,,Indonesia
BDO,Husein Sastranegara International Airport,Bandung,,Indonesia
CBN,Penggung Airport,Cirebon,,Indonesia
JOG,Adi Sutjipto International Airport,Yogyakarta,,Indonesia
CXP,Tunggul Wulung Airport,Cilacap,,Indonesia
PCB,Pondok Cabe Air Base,Jakarta,,Indonesia
SRG,Achmad Yani Airport,Semarang,,Indonesia
BTH,Hang Nadim International Airport,Batam,,Indonesia
TJQ,Buluh Tumbang (H A S Hanandjoeddin) Airport,Tanjung Pandan,,Indonesia
PGK,Pangkal Pinang (Depati Amir) Airport,Pangkal Pinang,,Indonesia
TNJ,Raja Haji Fisabilillah International Airport,Tanjung Pinang,,Indonesia
SIQ,Dabo Airport,Singkep,,Indonesia
BDJ,Syamsudin Noor Airport,Banjarmasin,,Indonesia
BTW,Batu Licin Airport,Batu Licin,,Indonesia
PKN,Iskandar Airport,Pangkalan Bun,Iskandar Airport,Indonesia
PKY,Tjilik Riwut Airport,Palangkaraya,,Indonesia
MOF,Maumere(Wai Oti) Airport,Maumere,,Indonesia
ENE,Ende (H Hasan Aroeboesman) Airport,Ende,,Indonesia
RTG,Frans Sales Lega Airport,Ruteng,,Indonesia
KOE,El Tari Airport,Kupang,,Indonesia
LBJ,Komodo Airport,Labuhan Bajo,,Indonesia
BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,,Indonesia
TRK,Juwata Airport,Taraken,,Indonesia
SRI,Temindung Airport,Samarinda,,Indonesia
TSX,Tanjung Santan Airport,Tanjung Santan,,Indonesia
AMI,Selaparang Airport,Mataram,,Indonesia
BMU,Muhammad Salahuddin Airport,Bima,,Indonesia
WGP,Umbu Mehang Kunda Airport,Waingapu,,Indonesia
SUB,Juanda International Airport,Surabaya,,Indonesia
SOC,Adi Sumarmo Wiryokusumo Airport,Solo City,,Indonesia
ICN,Incheon International Airport,Seoul,,South Korea
CNX,Chiang Mai International Airport,Chiang Mai,,Thailand
CEI,Chiang Rai International Airport,Chiang Rai,,Thailand
NST,Nakhon Si Thammarat Airport,Nakhon Si Thammarat,,Thailand
NAK,Nakhon Ratchasima Airport,Nakhon Ratchasima,,Thailand
KOP,Nakhon Phanom Airport,Nakhon Phanom,,Thailand
UBP,Ubon Ratchathani Airport,Ubon Ratchathani,,Thailand
KKC,Khon Kaen Airport,Khon Kaen,,Thailand
THS,Sukhothai Airport,Sukhothai,,Thailand
DPS,Ngurah Rai (Bali) International Airport,Denpasar,,Indonesia
ATH,Eleftherios Venizelos International Airport,Athens,,Greece
NGO,Chubu Centrair International Airport,Nagoya,,Japan
UKB,Kobe Airport,Kobe,,Japan
PUW,Pullman Moscow Regional Airport,Pullman,Washington,United States
LWS,Lewiston Nez Perce County Airport,Lewiston,Idaho,United States
ELM,Elmira Corning Regional Airport,Elmira,New York,United States
ITH,Ithaca Tompkins Regional Airport,Ithaca,New York,United States
MRY,Monterey Peninsula Airport,Monterey,California,United States
SBA,Santa Barbara Municipal Airport,Santa Barbara,California,United States
DAB,Daytona Beach International Airport,Daytona Beach,Florida,United States
LPX,Liepāja International Airport,Liepaja,,Latvia
RIX,Riga International Airport,Riga,,Latvia
SQQ,Šiauliai International Airport,Siauliai,,Lithuania
HLJ,Barysiai Airport,Barysiai,,Lithuania
KUN,Kaunas International Airport,Kaunas,,Lithuania
PLQ,Palanga International Airport,Palanga,,Lithuania
VNO,Vilnius International Airport,Vilnius,,Lithuania
PNV,Panevėžys Air Base,Panevezys,,Lithuania
EVN,Zvartnots International Airport,Yerevan,,Armenia
LWN,Gyumri Shirak Airport,Gyumri,,Armenia
ASA,Assab International Airport,Assab,,Eritrea
ASM,Asmara International Airport,Asmara,,Eritrea
MSW,Massawa International Airport,Massawa,,Eritrea
GZA,Yasser Arafat International Airport,Gaza,,Palestine
BUS,Batumi International Airport,Batumi,,Georgia
KUT,Kopitnari Airport,Kutaisi,,Georgia
TBS,Tbilisi International Airport,Tbilisi,,Georgia
RIY,Mukalla International Airport,Mukalla,,Yemen
TAI,Ta'izz International Airport,Taiz,,Yemen
HOD,Hodeidah International Airport,Hodeidah,,Yemen
ADE,Aden International Airport,Aden,,Yemen
AXK,Ataq Airport,Ataq,,Yemen
AAY,Al Ghaidah International Airport,Al Ghaidah Intl,,Yemen
SAH,Sana'a International Airport,Sanaa,,Yemen
BHN,Beihan Airport,Beihan,,Yemen
SCT,Socotra International Airport,Socotra,,Yemen
FMM,Memmingen Allgau Airport,Memmingen,,Germany
NAV,Nevşehir Kapadokya Airport,Nevsehir,,Turkey
EZE,Ministro Pistarini International Airport,Buenos Aires,,Argentina
EBL,Erbil International Airport,Erbil,,Iraq
EMD,Emerald Airport,Emerald,Qld.,Australia
HEW,Athen Helenikon Airport,Athens,,Greece
KIX,Kansai International Airport,Osaka,,Japan
JRB,Downtown-Manhattan/Wall St Heliport,New York,New York,United States
TAG,Tagbilaran Airport,Tagbilaran,,Philippines
JAV,Ilulissat Airport,Ilulissat,,Greenland
JCH,Qasigiannguit Heliport,Qasigiannguit,,Greenland
JEG,Aasiaat Airport,Aasiaat,,Greenland
PMI,Palma De Mallorca Airport,Palma de Mallorca,Mallorca Is.,Spain
DRW,Darwin International Airport,Darwin,N.T.,Australia
URT,Surat Thani Airport,Surat Thani,,Thailand
TKA,Talkeetna Airport,Talkeetna,Alaska,United States
GZM,Xewkija Heliport,Gozo,,Malta
HVN,Tweed New Haven Airport,New Haven,Connecticut,United States
AVL,Asheville Regional Airport,Asheville,North Carolina,United States
GSO,Piedmont Triad International Airport,Greensboro,Nc,United States
FSD,Joe Foss Field Airport,Sioux Falls,South Dakota,United States
AYQ,Ayers Rock Connellan Airport,Uluru,N.T.,Australia
MHT,Manchester-Boston Regional Airport,Manchester NH,New Hampshire,United States
APF,Naples Municipal Airport,Naples,Florida,United States
RDN,LTS Pulau Redang Airport,Redang,,Malaysia
SDF,Louisville International Standiford Field,Louisville,Kentucky,United States
CHO,Charlottesville Albemarle Airport,Charlottesville VA,Virginia,United States
ROA,Roanoke–Blacksburg Regional Airport,Roanoke VA,Virginia,United States
LEX,Blue Grass Airport,Lexington KY,Kentucky,United States
EVV,Evansville Regional Airport,Evansville,Indiana,United States
ABQ,Albuquerque International Sunport,Albuquerque,New Mexico,United States
BZN,Gallatin Field,Bozeman,Montana,United States
BIL,Billings Logan International Airport,Billings,Montana,United States
BTM,Bert Mooney Airport,Butte,Montana,United States
TVC,Cherry Capital Airport,Traverse City,Michigan,United States
FRS,Mundo Maya International Airport,Flores,,Guatemala
BHB,Hancock County-Bar Harbor Airport,Bar Harbor,Maine,United States
RKD,Knox County Regional Airport,Rockland,Maine,United States
JAC,Jackson Hole Airport,Jacksn Hole,Wyoming,United States
RFD,Chicago Rockford International Airport,Rockford,Illinois,United States
DME,Domodedovo International Airport,Moscow,,Russia
SYX,Sanya Phoenix International Airport,Sanya,,China
MFN,Milford Sound Airport,Milford Sound,,New Zealand
LJG,Lijiang Airport,Lijiang,,China
GSP,Greenville Spartanburg International Airport,Greenville,Sc,United States
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,Illinois,United States
GPT,Gulfport Biloxi International Airport,Gulfport,Mississippi,United States
AZO,Kalamazoo Battle Creek International Airport,Kalamazoo,Michigan,United States
TOL,Toledo Express Airport,Toledo,Ohio,United States
FWA,Fort Wayne International Airport,Fort Wayne,Indiana,United States
DEC,Decatur Airport,Decatur,Illinois,United States
CID,The Eastern Iowa Airport,Cedar Rapids,Iowa,United States
LSE,La Crosse Municipal Airport,La Crosse,Wisconsin,United States
CWA,Central Wisconsin Airport,Wassau,Wisconsin,United States
PIA,General Wayne A. Downing Peoria International Airport,Peoria,Illinois,United States
ATW,Appleton International Airport,Appleton,Wisconsin,United States
RST,Rochester International Airport,Rochester,Minnesota,United States
CMI,University of Illinois Willard Airport,Champaign,Illinois,United States
MHK,Manhattan Regional Airport,Manhattan,Kansas,United States
KGC,Kingscote Airport,Kingscote,,Australia
HVB,Hervey Bay Airport,Hervey Bay,Qld.,Australia
DLU,Dali Airport,Dali,,China
MZV,Mulu Airport,Mulu,,Malaysia
SSH,Sharm El Sheikh International Airport,Sharm El Sheikh,,Egypt
FKL,Venango Regional Airport,Franklin,Pa,United States
NBO,Jomo Kenyatta International Airport,Nairobi,,Kenya
SEU,Seronera Airport,Seronera,,Tanzania
FTE,El Calafate Airport,El Calafate,,Argentina
ARM,Armidale Airport,Armidale,N.S.W.,Australia
GJT,Grand Junction Regional Airport,Grand Junction,Colorado,United States
SGU,St George Municipal Airport,Saint George,Utah,United States
DWH,David Wayne Hooks Memorial Airport,Houston,,United States
SRQ,Sarasota Bradenton International Airport,Sarasota,Florida,United States
BDA,L.F. Wade International International Airport,Bermuda,,Bermuda
VNY,Van Nuys Airport,Van Nuys,California,United States
MLI,Quad City International Airport,Moline,Illinois,United States
PFN,Panama City-Bay Co International Airport,Panama City,Florida,United States
HIR,Honiara International Airport,Honiara,Guadalcanal,Solomon Islands
PPT,Faa'a International Airport,Papeete,Soc. Is.,French Polynesia
INU,Nauru International Airport,Nauru,,Nauru
FUN,Funafuti International Airport,Funafuti,,Tuvalu
OVB,Tolmachevo Airport,Novosibirsk,,Russia
XKH,Xieng Khouang Airport,Phon Savan,,Laos
BIS,Bismarck Municipal Airport,Bismarck,North Dakota,United States
TEX,Telluride Regional Airport,Telluride,Colorado,United States
HGN,Mae Hong Son Airport,Mae Hong Son,,Thailand
RAP,Rapid City Regional Airport,Rapid City,South Dakota,United States
CLD,Mc Clellan-Palomar Airport,Carlsbad,California,United States
FNT,Bishop International Airport,Flint,Michigan,United States
DVO,Francisco Bangoy International Airport,Davao,,Philippines
FNC,Madeira Airport,Funchal,,Portugal
STM,Maestro Wilson Fonseca Airport,Santarem,,Brazil
KOS,Sihanoukville International Airport,Sihanoukville,,Cambodia
YOA,Ekati Airport,Ekati,,Canada
NPE,Hawke's Bay Airport,NAPIER,,New Zealand
LEV,Levuka Airfield,Levuka,,Fiji
LXA,Lhasa Gonggar Airport,Lhasa,,China
RDD,Redding Municipal Airport,Redding,California,United States
EUG,Mahlon Sweet Field,Eugene,Oregon,United States
IDA,Idaho Falls Regional Airport,Idaho Falls,Idaho,United States
MFR,Rogue Valley International Medford Airport,Medford,Oregon,United States
KBZ,Kaikoura Airport,Kaikoura,,New Zealand
RDM,Roberts Field,Redmond-Bend,Oregon,United States
PCN,Picton Aerodrome,Picton,,New Zealand
WDH,Hosea Kutako International Airport,Windhoek,,Namibia
YWH,Victoria Harbour Seaplane Base,Victoria,,Canada
TNA,Yaoqiang Airport,Jinan,,China
CZX,Changzhou Benniu Airport,Changzhou,,China
YBP,Yibin Caiba Airport,Yibin,,China
TJM,Roshchino International Airport,Tyumen,,Russia
CAK,Akron Canton Regional Airport,Akron,Ohio,United States
HSV,Huntsville International Carl T Jones Field,Huntsville,Alabama,United States
PKB,Mid Ohio Valley Regional Airport,PARKERSBURG,West Virginia,United States
MGM,Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,Alabama,United States
TRI,Tri-Cities Regional TN/VA Airport,BRISTOL,Tennessee,United States
PAH,Barkley Regional Airport,PADUCAH,Kentucky,United States
JIB,Djibouti-Ambouli Airport,Djibouti,,Djibouti
HAK,Haikou Meilan International Airport,Haikou,,China
MFA,Mafia Island Airport,Mafia Island,,Tanzania
PGA,Page Municipal Airport,Page,Arizona,United States
UII,Utila Airport,Utila,,Honduras
FCA,Glacier Park International Airport,Kalispell,Montana,United States
MBS,MBS International Airport,Saginaw,Michigan,United States
BGM,Greater Binghamton/Edwin A Link field,Binghamton,New York,United States
BGW,Baghdad International Airport,Baghdad,,Iraq
NNT,Nan Airport,Nan,,Thailand
ROI,Roi Et Airport,Roi Et,,Thailand
BFV,Buri Ram Airport,Buri Ram,,Thailand
TDX,Trat Airport,Trat,,Thailand
BLH,Blythe Airport,Blythe,California,United States
IQA,Al Asad Air Base,Al Asad,,Iraq
TQD,Al Taqaddum Air Base,Al Taqaddum,,Iraq
XQC,Joint Base Balad,Al Bakr,,Iraq
CRK,Diosdado Macapagal International Airport,Angeles City,,Philippines
SDK,Sandakan Airport,Sandakan,Sabah,Malaysia
LXG,Luang Namtha Airport,Luang Namtha,,Laos
ODY,Oudomsay Airport,Muang Xay,,Laos
SHE,Taoxian Airport,Shenyang,,China
DOY,Dongying Shengli Airport,Dongying,,China
MNI,John A. Osborne Airport,Geralds,,Montserrat
PSG,Petersburg James A Johnson Airport,Petersburg,Alaska,United States
LYA,Luoyang Airport,Luoyang,,China
XUZ,Xuzhou Guanyin Airport,Xuzhou,,China
MWQ,Magway Airport,Magwe,,Burma
KHM,Kanti Airport,Khamti,,Burma
DLI,Lien Khuong Airport,Dalat,,Vietnam
VDH,Dong Hoi Airport,Dong Hoi,,Vietnam
VKG,Rach Gia Airport,Rach Gia,,Vietnam
CAH,Cà Mau Airport,Ca Mau,,Vietnam
VCL,Chu Lai International Airport,Chu Lai,,Vietnam
TBB,Dong Tac Airport,Tuy Hoa,,Vietnam
PYY,Mae Hong Son Airport,Pai,,Thailand
BWK,Bol Airport,Brac,,Croatia
NSI,Yaoundé Nsimalen International Airport,Yaounde,,Cameroon
CKY,Conakry International Airport,Conakry,,Guinea
AAH,Aachen-Merzbrück Airport,Aachen,,Germany
FKB,Karlsruhe Baden-Baden Airport,Karlsruhe/Baden-Baden,,Germany
SFB,Orlando Sanford International Airport,Sanford,Florida,United States
JST,John Murtha Johnstown Cambria County Airport,Johnstown,Pennsylvania,United States
LUA,Lukla Airport,Lukla,,Nepal
BHP,Bhojpur Airport,Bhojpur,,Nepal
LDN,Lamidanda Airport,Lamidanda,,Nepal
JMO,Jomsom Airport,Jomsom,,Nepal
NGX,Manang Airport,Manang,,Nepal
PPL,Phaplu Airport,Phaplu,,Nepal
RUM,Rumjatar Airport,Rumjatar,,Nepal
DNP,Tulsipur Airport,Dang,,Nepal
RUK,Rukum Chaurjahari Airport,Rukumkot,,Nepal
JUM,Jumla Airport,Jumla,,Nepal
TPJ,Taplejung Airport,Taplejung,,Nepal
TMI,Tumling Tar Airport,Tumling Tar,,Nepal
SKH,Surkhet Airport,Surkhet,,Nepal
IMK,Simikot Airport,Simikot,,Nepal
DOP,Dolpa Airport,Dolpa,,Nepal
BJH,Bajhang Airport,Bajhang,,Nepal
DHI,Dhangarhi Airport,Dhangarhi,,Nepal
MWX,Muan International Airport,Muan,,South Korea
JTY,Astypalaia Airport,Astypalaia,Dodekanese,Greece
JIK,Ikaria Airport,Ikaria,,Greece
JKL,Kalymnos Airport,Kalymnos,,Greece
MLO,Milos Airport,Milos,,Greece
JNX,Naxos Airport,Cyclades Islands,Cyclades Islands,Greece
PAS,Paros National Airport,Paros,,Greece
KZS,Kastelorizo Airport,Kastelorizo,,Greece
RMF,Marsa Alam International Airport,Marsa Alam,,Egypt
NRN,Weeze Airport,Weeze,,Germany
USU,Francisco B. Reyes Airport,Busuanga,,Philippines
BXU,Bancasi Airport,Butuan,,Philippines
DPL,Dipolog Airport,Dipolog,,Philippines
LAO,Laoag International Airport,Laoag,,Philippines
LGP,Legazpi City International Airport,Legazpi,,Philippines
OZC,Labo Airport,Ozamis,,Philippines
CEB,Mactan Cebu International Airport,Cebu,,Philippines
NOD,Norden-Norddeich Airport,Norden,,Germany
JUI,Juist Airport,Juist,,Germany
BPS,Porto Seguro Airport,Porto Seguro,,Brazil
QIG,Iguatu Airport,Iguatu,,Brazil
PMW,Brigadeiro Lysias Rodrigues Airport,Palmas,To,Brazil
CLV,Nelson Ribeiro Guimarães Airport,Caldas Novas,,Brazil
MSO,Missoula International Airport,Missoula,Montana,United States
BKQ,Blackall Airport,Blackall,Qld.,Australia
BDB,Bundaberg Airport,Bundaberg,Qld.,Australia
GCN,Grand Canyon National Park Airport,Grand Canyon,Arizona,United States
SGR,Sugar Land Regional Airport,Sugar Land,Texas,United States
APA,Centennial Airport,Denver,Colorado,United States
CVN,Clovis Municipal Airport,Clovis,New Mexico,United States
FST,Fort Stockton Pecos County Airport,Fort Stockton,Texas,United States
LVS,Las Vegas Municipal Airport,Las Vegas,New Mexico,United States
IWS,West Houston Airport,Houston,Texas,United States
LRU,Las Cruces International Airport,Las Cruces,New Mexico,United States
BKD,Stephens County Airport,Breckenridge,Texas,United States
TPL,Draughon Miller Central Texas Regional Airport,Temple,Texas,United States
OZA,Ozona Municipal Airport,Ozona,Texas,United States
KDM,Kaadedhdhoo Airport,Kaadedhdhoo,,Maldives
LAK,Aklavik/Freddie Carmichael Airport,Aklavik,N.W.T.,Canada
YWJ,Déline Airport,Deline,N.W.T.,Canada
ZFN,Tulita Airport,Tulita,N.W.T.,Canada
YGH,Fort Good Hope Airport,Fort Good Hope,N.W.T.,Canada
TAH,Tanna Airport,Tanna,,Vanuatu
YPC,Paulatuk (Nora Aliqatchialuk Ruben) Airport,Paulatuk,N.W.T.,Canada
SRZ,El Trompillo Airport,Santa Cruz,,Bolivia
SAB,Juancho E. Yrausquin Airport,Saba,,Netherlands Antilles
EGE,Eagle County Regional Airport,Vail,Colorado,United States
SKN,Stokmarknes Skagen Airport,Stokmarknes,,Norway
CGF,Cuyahoga County Airport,Richmond Heights,Ohio,United States
MFD,Mansfield Lahm Regional Airport,Mansfield,Ohio,United States
CSG,Columbus Metropolitan Airport,Columbus,Georgia,United States
LAW,Lawton Fort Sill Regional Airport,Lawton,Oklahoma,United States
FNL,Northern Colorado Regional Airport,Fort Collins,Co,United States
FLG,Flagstaff Pulliam Airport,Flagstaff,Arizona,United States
TVL,Lake Tahoe Airport,South Lake Tahoe,California,United States
TWF,Joslin Field Magic Valley Regional Airport,Twin Falls,Idaho,United States
MVY,Martha's Vineyard Airport,Vineyard Haven MA,Ma,United States
CON,Concord Municipal Airport,Concord NH,New Hampshire,United States
GON,Groton New London Airport,Groton CT,Connecticut,United States
STC,St Cloud Regional Airport,Saint Cloud,Minnesota,United States
BPE,Qinhuangdao Beidaihe Airport,Bagan,,Burma
GTR,Golden Triangle Regional Airport,Columbus Mississippi,Mississippi,United States
GOJ,Nizhny Novgorod Strigino International Airport,Nizhniy Novgorod,,Russia
HQM,Bowerman Airport,Hoquiam,Washington,United States
ERI,Erie International Tom Ridge Field,Erie,Pennsylvania,United States
HYA,Barnstable Municipal Boardman Polando Field,Barnstable,Massachusetts,United States
SPR,San Pedro Airport,San Pedro,,Belize
SDX,Sedona Airport,Sedona,Arizona,United States
MGW,Morgantown Municipal Walter L. Bill Hart Field,Morgantown,West Virginia,United States
CRW,Yeager Airport,Charleston,West Virginia,United States
